Rank,Universitas,Negara,Score
421Top 2.1%,University of Oregon,USA,75.2
422Top 2.1%,Beijing University of Chemical Technology,China,75.1
423Top 2.1%,National Tsing Hua University,Taiwan,75.1
424Top 2.1%,São Paulo State University,Brazil,75.1
425Top 2.1%,"University at Albany, SUNY",USA,75.1
426Top 2.1%,University of Rennes 1,France,75.1
427Top 2.1%,Catholic University of the Sacred Heart,Italy,75.1
428Top 2.1%,University of Ljubljana,Slovenia,75.1
429Top 2.1%,Aristotle University of Thessaloniki,Greece,75.1
430Top 2.1%,University of Côte d'Azur,France,75.1
431Top 2.1%,Southern University of Science and Technology,China,75.0
432Top 2.2%,Tampere University,Finland,75.0
433Top 2.2%,Huazhong Agricultural University,China,75.0
434Top 2.2%,Jinan University,China,75.0
435Top 2.2%,University of Texas at Dallas,USA,75.0
436Top 2.2%,Vienna University of Technology,Austria,75.0
437Top 2.2%,University of Twente,Netherlands,75.0
438Top 2.2%,University of Chile,Chile,75.0
439Top 2.2%,Wuhan University of Technology,China,74.9
440Top 2.2%,University of Clermont Auvergne,France,74.9
441Top 2.2%,Thomas Jefferson University,USA,74.9
442Top 2.2%,Texas Tech University,USA,74.9
443Top 2.2%,University of Bath,United Kingdom,74.9
444Top 2.2%,Pusan National University,South Korea,74.9
445Top 2.2%,Nanjing University of Aeronautics and Astronautics,China,74.9
446Top 2.2%,"Northeastern University, China",China,74.9
447Top 2.2%,Chonnam National University,South Korea,74.9
448Top 2.2%,University of Mississippi,USA,74.8
449Top 2.2%,Kobe University,Japan,74.8
450Top 2.2%,Stellenbosch University,South Africa,74.8
451Top 2.2%,York University,Canada,74.8
452Top 2.3%,Indiana University – Purdue University Indianapolis,USA,74.8
453Top 2.3%,Amherst College,USA,74.8
454Top 2.3%,Tulane University,USA,74.8
455Top 2.3%,Xidian University,China,74.8
456Top 2.3%,Vita-Salute San Raffaele University,Italy,74.7
457Top 2.3%,University of Trento,Italy,74.7
458Top 2.3%,Stockholm School of Economics,Sweden,74.7
459Top 2.3%,RMIT University,Australia,74.7
460Top 2.3%,Jiangsu University,China,74.7
461Top 2.3%,University of Oulu,Finland,74.7
462Top 2.3%,Chulalongkorn University,Thailand,74.7
463Top 2.3%,Saint Louis University,USA,74.7
464Top 2.3%,Kansas State University,USA,74.7
465Top 2.3%,Hiroshima University,Japan,74.6
466Top 2.3%,University of Alabama - Tuscaloosa,USA,74.6
467Top 2.3%,Federal University of Rio Grande do Sul,Brazil,74.6
468Top 2.3%,Martin Luther University Halle-Wittenberg,Germany,74.6
469Top 2.3%,University of Trieste,Italy,74.6
470Top 2.3%,University of Navarra,Spain,74.6
471Top 2.3%,La Trobe University,Australia,74.6
472Top 2.3%,Fuzhou University,China,74.6
473Top 2.4%,Syracuse University,USA,74.6
